PID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,Cond,attencheck1,attencheck2,self-admit,taskloadeffort_1,taskloadeffort_9,taskloadeffort_10,taskloadeffort_11,taskloadeffort_12,taskloadeffort_13,taskloadeffort_14,taskloadeffort_15,taskloadeffort_16,taskloadnothing_1,taskloadnothing_9,taskloadnothing_10,taskloadnothing_11,taskloadnothing_12,taskloadnothing_13,taskloadnothing_14,taskloadnothing_15,taskloadnothing_16,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,bps_1,bps_2,bps_3,bps_4,bps_5,bps_6,bps_7,bps_8,moe_1,moe_2,moe_3,moe_4,moe_5,moe_6,moe_7,moe_8,moe_9,moe_10,moe_11,moe_12,moe_13,moe_14,moe_15,moe_16,moe_17,moe_18,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
172,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,Highpay,Green,Blue,No,0,6.41,0,0.07,6.93,0,0,0,0.45,0.01,7,0.07,0.07,7,0.07,0.07,0.07,0.07,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Strongly,Disagree Strongly,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Highpay,Green,Blue,No,1.12,5.18,4.48,1.58,7,0,0,0,1.64,0,0,0,0,0,0,0,0,7,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Strongly,Disagree Strongly,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Agree Strongly,Agree Somewhat,Agree,Disagree,Disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree
174,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,Highpay,Green,Blue,No,3.85,0.94,2.96,0.97,7,2.94,0.01,0,7,0,7,0,0,7,0,0,0,0,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Agree Strongly,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
175,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,Highpay,Green,Blue,No,7,0.9,2.16,3.32,7,6.97,4.24,3.1,3.5,0.07,0.07,0.07,0.68,0.07,1.98,0.71,0.07,0.07,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
176,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,Lowpay,Yellow,Green,No,5.52,0.21,0.45,1.92,6.18,0.29,0.37,0.29,3.91,0.22,0.18,0.25,0.55,6.12,0.26,0.25,0.26,1.99,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Strongly,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
177,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,Lowpay,Yellow,Blue,Yes,3.47,1.94,1.56,1.93,7,3.33,1.07,1.02,5.04,0.87,6.04,1.06,1.04,7,0.94,0.93,0.96,0.87,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Somewhat agree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
178,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Lowpay,Green,Blue,No,2.22,0.92,0.61,4.02,5.76,3.48,1.04,1.89,1.93,0.07,5.09,0.04,5.21,7,0.07,0.07,0.07,0.04,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Disagree Strongly,Neither Agree nor Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
179,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,Lowpay,Green,Blue,Yes,0.91,4.29,2.99,1.97,5.17,2.02,1.05,0.46,1.96,0,7,0,1.75,7,0,0.27,0.16,0,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Somewhat disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree
180,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,Lowpay,Green,Blue,No,1.75,0.29,3.97,3.42,6.72,7,0.22,0.14,3.96,0.49,2.08,0.47,0.57,6.48,2.8,0.59,0.73,2.93,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
181,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,Highpay,Green,Blue,No,5.21,2.57,1.06,2.41,5.1,4.31,3.83,2.41,3.28,0.3,3.72,0.21,3.26,7,0.44,2.98,2.04,0.23,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
182,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Lowpay,Green,Blue,Yes,1.19,3.46,0.16,1.19,6.13,1.03,1.44,1.48,4.93,0.75,4.74,0.04,0.58,6.75,0.03,0.77,2.5,3.32,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Strongly,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
183,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Lowpay,Green,Blue,Yes,3.89,5.18,0.88,3.04,6.05,5.11,0.84,0.65,0,4.04,5.94,0,0,7,0,1,0,0,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Strongly,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Strongly disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree
184,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Green,Blue,Yes,3.02,1.9,0.44,2.7,5.98,1.53,2.45,0.76,2.33,0.14,5.87,0.02,0.1,6.45,0.03,5.85,3.69,0,Disagree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
185,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,Lowpay,Green,Blue,Yes,0.76,3.15,2.02,2.08,7,4.09,0.55,0.48,3.13,0.25,7,0.25,0.26,7,0.23,0.21,0.18,0.22,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Somewhat disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
186,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Lowpay,Green,Blue,No,4.59,5.14,3.09,5.26,3.6,4.23,2.01,2.09,3.56,0.39,4.75,0.54,0.62,6.14,0.15,0.25,1,0.23,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
187,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,Highpay,Green,Blue,No,3.07,1.99,1.86,0.75,6.28,3.85,0.96,3.89,3.86,1.94,2.74,0.92,1.58,6.92,1.88,0,0.18,0.76,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Disagree Strongly,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
188,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Highpay,Green,Blue,No,1.05,4.22,2.44,4.08,7,6.2,2,0.98,3.07,1.07,3.11,1.12,1.15,1.09,1.05,3.15,1.03,1.27,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Somewhat agree,Agree,Somewhat disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree
189,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,Lowpay,Green,Blue,No,2.17,3.31,0.42,0.6,5.59,4.13,1.89,0.95,0.4,0.1,2.58,0.08,0.07,6.98,0.08,0,0.21,0.44,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
190,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,Highpay,Green,Blue,Yes,2.09,4.27,2.02,0.93,7,0.2,2.01,0.23,4.03,0.28,7,0.2,0.28,7,0.24,4.23,0.29,0.26,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
191,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Highpay,Green,Blue,Yes,4.74,1.74,0.14,1.4,5.81,3.71,0.19,0.61,2.38,0.28,5.71,0.07,0.07,1.86,0.16,2.92,1.42,0.07,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
